unique_number;id_no;rev_bis;name_en;name_fr;short_description_en;short_description_fr;justification_en;justification_fr;date_inscribed;secondary_dates;danger;date_end;danger_list;longitude;latitude;area_hectares;C1;C2;C3;C4;C5;C6;N7;N8;N9;N10;criteria_txt;category;category_short;states_name_en;states_name_fr;region_en;region_fr;iso_code;udnp_code;transboundary
1191;1021;;Tsodilo;Tsodilo;<p>With one of the highest concentrations of rock art in the world, Tsodilo has been called the ''Louvre of the Desert''. Over 4,500 paintings are preserved in an area of only 10 km2 of the Kalahari Desert. The archaeological record of the area gives a chronological account of human activities and environmental changes over at least 100,000 years. Local communities in this hostile environment respect Tsodilo as a place of worship frequented by ancestral spirits.</p>;"<p>Avec l&rsquo;une des plus fortes concentrations d&rsquo;art rupestre au monde, Tsodilo est parfois appel&eacute; le ''Louvre du d&eacute;sert''. Plus de 4 500 peintures sont conserv&eacute;es dans une zone de seulement 10km2 dans le d&eacute;sert du Kalahari. Le site renferme la m&eacute;moire de l&rsquo;&eacute;volution humaine et environnementale sur une dur&eacute;e d&rsquo;au moins 100 000 ans. Les communaut&eacute;s qui vivent encore dans cet environnement hostile respectent Tsodilo en tant que lieu de culte peupl&eacute; des esprits ancestraux.</p>";"<p><strong>Criterion i:</strong> For many thousands of years the rocky outcrops of Tsodilo in the harsh landscape of the Kalahari Desert have been visited and settled by humans, who have left rich traces of their presence in the form of outstanding rock art.</p>
<p><strong>Criterion iii:</strong> Tsodilo is a site that has witnessed visits and settlement by successive human communities for many millennia.</p>
<p><strong>Criterion vi: </strong>The Tsodilo outcrops have immense symbolic and religious significance for the human communities who continue to survive in this hostile environment.</p>";"<p><strong>Critère i:</strong> Pendant des milliers d’années, les hommes ont visité les affleurements rocheux de Tsodilo, dans le paysage aride du désert du Kalahari et s’y sont installés, laissant de nombreuses traces de leur présence, sous la forme d’un art rupestre exceptionnel.</p>
<p><strong>Critère iii:</strong> Le site de Tsodilo témoigne des visites et peuplements de communautés humaines successives pendant des millénaires.</p>
<p><strong>Critère vi:</strong> Les affleurements rocheux de Tsodilo ont une immense signification symbolique et religieuse pour les communautés humaines qui survivent encore aujourd’hui dans cet environnement hostile.</p>";2001;;0;;;21,73333333;-18,75;4800;1;0;1;0;0;1;0;0;0;0;(i)(iii)(vi);Cultural;C;Botswana;Botswana;Africa;Afrique;bw;bwa;0
1976;1432;;Okavango Delta;Delta de l’Okavango;"<p>This delta in north-west Botswana comprises permanent marshlands and seasonally flooded plains. It is one of the very few major interior delta systems that do not flow into a sea or ocean, with a wetland system that is almost intact. One of the unique characteristics of the site is that the annual flooding from the River Okavango occurs during the dry season, with the result that the native plants and animals have synchronized their biological cycles with these seasonal rains and floods. It is an exceptional example of the interaction between climatic, hydrological and biological processes. The Okavango Delta is home to some of the world&rsquo;s most endangered species of large mammal, such as the cheetah, white rhinoceros, black rhinoceros, African wild dog and lion.</p>";"<p>Cette plaine situ&eacute;e au nord-ouest du Botswana est compos&eacute;e de mar&eacute;cages permanents et de prairies saisonni&egrave;rement inond&eacute;es. Il s&rsquo;agit d&rsquo;un des tr&egrave;s rares grands syst&egrave;mes de deltas int&eacute;rieurs n&rsquo;ayant pas de d&eacute;bouch&eacute; dans la mer et d&rsquo;un syst&egrave;me de zones humides quasi intact. Une des caract&eacute;ristiques uniques de ce site est que les crues annuelles se produisent en saison s&egrave;che, de sorte que les plantes et les animaux ont synchronis&eacute; leur rythme biologique avec les crues et les pluies annuelles. C&rsquo;est un exemple exceptionnel de l&rsquo;interaction des processus climatiques, hydrologiques et biologiques. Le delta de l&rsquo;Okavango entretient des populations de certains des grands mammif&egrave;res les plus en danger du monde tels que le gu&eacute;pard, le rhinoc&eacute;ros blanc et le rhinoc&eacute;ros noir, le lycaon et le lion.</p>";;;2014;;0;;;22,9;-19,28333333;2023590;0;0;0;0;0;0;1;0;1;1;(vii)(ix)(x);Natural;N;Botswana;Botswana;Africa;Afrique;bw;bwa;0
136;124;;Historic Town of Ouro Preto;Ville historique d'Ouro Preto;<p>Founded at the end of the 17th century, Ouro Preto (Black Gold) was the focal point of the gold rush and Brazil’s golden age in the 18th century. With the exhaustion of the gold mines in the 19th century, the city’s influence declined but many churches, bridges and fountains remain as a testimony to its past prosperity and the exceptional talent of the Baroque sculptor Aleijadinho.</p>;<p>Fondée à la fin du XVIIe siècle, la ville d’Ouro Preto (« l’Or noir ») a été le point de convergence de la ruée vers l’or et le centre de « l’Âge d’or du Brésil » au XVIIIe siècle. Avec l’épuisement des mines d’or au XIXe siècle, l’influence d’Ouro Preto a décliné, mais beaucoup d’églises, de ponts et de fontaines subsistent et témoignent de son ancienne prospérité et du talent exceptionnel du sculpteur baroque l’Aleijadinho.</p>;;;1980;;0;;;-43,50555556;-20,38888889;167,8;1;0;1;0;0;0;0;0;0;0;(i)(iii);Cultural;C;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
210;189;;Historic Centre of the Town of Olinda;Centre historique de la ville d'Olinda;<p>Founded in the 16th century by the Portuguese, the town’s history is linked to the sugar-cane industry. Rebuilt after being looted by the Dutch, its basic urban fabric dates from the 18th century. The harmonious balance between the buildings, gardens, 20 Baroque churches, convents and numerous small passos (chapels) all contribute to Olinda’s particular charm.</p>;<p>La ville a été fondée au XVIe siècle par les Portugais et son histoire est liée à l’industrie de la canne à sucre. Elle a été reconstruite après son pillage par les Hollandais et l’essentiel de son tissu urbain date du XVIIIe siècle. L’équilibre préservé entre les bâtiments, les jardins, les vingt églises baroques, les couvents et les nombreuses petites chapelles (« passos ») donne à Olinda une ambiance toute particulière.</p>;;;1982;;0;;;-34,845;-8,013333333;190,9;0;1;0;1;0;0;0;0;0;0;(ii)(iv);Cultural;C;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
348;309;;Historic Centre of Salvador de Bahia;Centre historique de Salvador de Bahia;<p>As the first capital of Brazil, from 1549 to 1763, Salvador de Bahia witnessed the blending of European, African and Amerindian cultures. It was also, from 1558, the first slave market in the New World, with slaves arriving to work on the sugar plantations. The city has managed to preserve many outstanding Renaissance buildings. A special feature of the old town are the brightly coloured houses, often decorated with fine stucco-work.</p>;<p>Première capitale du Brésil de 1549 à 1763, Salvador de Bahia a été un point de convergence des cultures européennes, africaines et amérindiennes. Elle a également été, dès 1558, le premier marché d’esclaves du Nouveau Monde à destination des plantations de cannes à sucre. La ville a pu préserver de nombreux exemples exceptionnels d’architecture Renaissance. Les maisons polychromes aux couleurs vives, souvent ornées de décorations en stuc de grande qualité, sont une des caractéristiques de la vieille ville.</p>;;;1985;;0;;;-38,512981;-12,972917;200;0;0;0;1;0;1;0;0;0;0;(iv)(vi);Cultural;C;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
380;334;;Sanctuary of Bom Jesus do Congonhas;Sanctuaire du Bon Jésus à Congonhas;"<p>This sanctuary in Minais Gerais, south of Belo Horizonte was built in the second half of the 18th century. It consists of a church with a magnificent Rococo interior of Italian inspiration; an outdoor stairway decorated with statues of the prophets; and seven chapels illustrating the Stations of the Cross, in which the polychrome sculptures by Aleijadinho are masterpieces of a highly original, moving, expressive form of Baroque art.</p>";<p>Construit pendant la seconde moitié du XVIIIe siècle, le sanctuaire, situé dans le Minas Gerais, au sud de Belo Horizonte, se compose d’une église au somptueux décor intérieur rococo d’inspiration italienne, d’un escalier en terrasse décoré de statues de prophètes et de sept chapelles abritant un chemin de croix où les groupes polychromes sculptés par l’Aleijadinho sont le chef-d’œuvre d’un art baroque original, pathétique et hautement expressif.</p>;;;1985;;0;;;-43,860806;-20,508201;2,19;1;0;0;1;0;0;0;0;0;0;(i)(iv);Cultural;C;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
408;355;;Iguaçu National Park;Parc national d'Iguaçu;<p>The park shares with Iguazú National Park in Argentina one of the world’s largest and most impressive waterfalls, extending over some 2,700 m. It is home to many rare and endangered species of flora and fauna, among them the giant otter and the giant anteater. The clouds of spray produced by the waterfall are conducive to the growth of lush vegetation.</p>;<p>Comme son voisin d’Argentine, le parc national de l’Iguaçu permet d’admirer, sur une longueur de 2 700 m, l’une des cataractes les plus grandes et les plus impressionnantes du monde. Il abrite de nombreuses espèces rares et menacées de flore et de faune, et notamment la loutre géante et le fourmilier géant. Les nuages d’embruns qui se dégagent des chutes favorisent la croissance d’une végétation luxuriante.</p>;;;1986;;0;2001;P 1999-2001;-53,80014444;-25,44814722;169695,88;0;0;0;0;0;0;1;0;0;1;(vii)(x);Natural;N;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
516;445;;Brasilia;Brasilia;<p>Brasilia, a capital created <em>ex nihilo</em> in the centre of the country in 1956, was a landmark in the history of town planning. Urban planner Lucio Costa and architect Oscar Niemeyer intended that every element – from the layout of the residential and administrative districts (often compared to the shape of a bird in flight) to the symmetry of the buildings themselves – should be in harmony with the city’s overall design. The official buildings, in particular, are innovative and imaginative.</p>;<p>Brasília, capitale créée <em>ex nihilo</em> au centre du pays en 1956-1960, a été un événement majeur dans l’histoire de l’urbanisme. L’urbaniste Lucio Costa et l’architecte Oscar Niemeyer ont voulu que tout, depuis le plan général des quartiers administratifs et résidentiels – souvent comparé à la forme d’un oiseau – jusqu’à la symétrie des bâtiments eux-mêmes, reflète la conception harmonieuse de la ville dont les bâtiments officiels frappent par leur aspect novateur.</p>;;;1987;;0;;;-47,9;-15,78333;11268,92;1;0;0;1;0;0;0;0;0;0;(i)(iv);Cultural;C;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
719;606;;Serra da Capivara National Park;Parc national de Serra da Capivara;<p>Many of the numerous rock shelters in the Serra da Capivara National Park are decorated with cave paintings, some more than 25,000 years old. They are an outstanding testimony to one of the oldest human communities of South America.</p>;<p>Beaucoup des nombreux abris creusés dans le roc du parc national de Serra da Capivara sont ornés de peintures rupestres dont certaines remontent à plus de 25 000 ans. Elles fournissent un témoignage exceptionnel sur l’une des plus anciennes communautés humaines d’Amérique du Sud.</p>;;;1991;;0;;;-42,652436;-8,718634;130600;0;0;1;0;0;0;0;0;0;0;(iii);Cultural;C;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
970;821;;Historic Centre of São Luís;Centre historique de São Luís;<p>The late 17th-century core of this historic town, founded by the French and occupied by the Dutch before coming under Portuguese rule, has preserved the original rectangular street plan in its entirety. Thanks to a period of economic stagnation in the early 20th century, an exceptional number of fine historic buildings have survived, making this an outstanding example of an Iberian colonial town.</p>;<p>Le centre de cette ville historique datant de la fin du XVIIe siècle, fondée par les Français et occupée par les Hollandais avant de passer sous la domination des Portugais, a préservé l’ensemble d’origine de ses rues au quadrillage rectangulaire. En raison d’une période de stagnation économique au début du XXe siècle, un nombre important de bâtiments historiques de grande qualité ont été conservés, en faisant ainsi un exemple exceptionnel de ville coloniale ibérique.</p>;<p>The Committee decided to inscribe this property on the basis of criteria (iii), (iv) and (v), considering that the Historic Centre of São Luis do Maranhão is an outstanding example of a Portuguese colonial town that adapted successfully to the climatic conditions in equatorial South America and which has preserved its urban fabric, harmoniously integrated with its natural setting, to an exceptional degree.</p>;<p>Le Comité a décidé d'inscrire ce bien sur la base des critères (iii), (iv) et (v). Le Centre historique de Sao Luis do Maranhao est un exemple exceptionnel de ville coloniale portugaise, adaptée avec succès aux conditions climatiques de l'Amérique du Sud équatoriale et ayant préservé dans une remarquable mesure son tissu urbain harmonieusement intégré à son environnement naturel.</p>;1997;;0;;;-44,303369;-2,530054;66,65;0;0;1;1;1;0;0;0;0;0;(iii)(iv)(v);Cultural;C;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
1042;890;;Historic Centre of the Town of Diamantina;Centre historique de la ville de Diamantina;<p>Diamantina, a colonial village set like a jewel in a necklace of inhospitable rocky mountains, recalls the exploits of diamond prospectors in the 18th century and testifies to the triumph of human cultural and artistic endeavour over the environment.</p>;<p>Diamantina est une ville coloniale insérée comme un joyau dans un massif montagneux inhospitalier. Elle illustre l’aventure des chercheurs de diamant au XVIIIe siècle et témoigne de l’emprise culturelle et artistique de l’être humain sur son environnement vivant.</p>;<p>Criterion (ii) Diamantina shows how explorers of the Brazilian territory, diamond prospectors, and representatives of the Crown were able to adapt European models to an American context in the 18th century, thus creating a culture that was faithful to its roots yet completely original. Criterion (iv) The urban and architectural group of Diamantina, perfectly integrated into a wild landscape, is a fine example of an adventurous spirit combined with a quest for refinement so typical of human nature.</p>;<p>Critère ii Diamantina montre comment, au XVIIIe siècle, les explorateurs du territoire brésilien, les aventuriers du diamant et les représentants de la Couronne ont su adapter des modèles européens à un contexte américain, créant ainsi une culture à la fois fidèle à ses origines et tout à fait originale. Critère iv L'ensemble urbain et architectural de Diamantina, parfaitement intégré à un paysage sauvage est un bel exemple de ce mélange d’esprit aventurier et de souci de raffinement qui caractérise l’aventure humaine.</p>;1999;;0;;;-43,59768;-18,244776;28,5;0;1;0;1;0;0;0;0;0;0;(ii)(iv);Cultural;C;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
1044;892;Rev;Discovery Coast Atlantic Forest Reserves;Côte de la découverte – Réserves de la forêt atlantique;<p>The Discovery Coast Atlantic Forest Reserves, in the states of Bahia and Espírito Santo, consist of eight separate protected areas containing 112,000 ha of Atlantic forest and associated shrub (<em>restingas</em>). The rainforests of Brazil’s Atlantic coast are the world’s richest in terms of biodiversity. The site contains a distinct range of species with a high level of endemism and reveals a pattern of evolution that is not only of great scientific interest but is also of importance for conservation.</p>;<p>La Côte de la découverte du Brésil, située dans les États de Bahía et d’Espirito Santo, se compose de huit aires protégées qui contiennent 112 000 ha de forêt atlantique et arbustes associés (<em>restingas</em>). La forêt atlantique est la forêt ombrophile la plus riche du monde du point de vue de la biodiversité. La Côte de la découverte abrite un large éventail d’espèces ayant un haut niveau d’endémisme. Elle révèle un schéma d’évolution de très grand intérêt pour la science et la conservation.</p>;"<p><em>Criterion (ix):</em> The Brazilian Discovery Coast includes a number of areas containing the best and largest remaining examples of Atlantic forest in the northeast region of Brazil and contains high numbers of rare and endemic species.</p>
<p><em>Criterion (x):</em> The site displays the biological richness and evolutionary history of the few remaining areas of Atlantic forest of northeast Brazil. The site reveals a pattern of evolution of great interest to science and importance for conservation. The fact that only these few scattered remnants of a once vast forest remain, make them an irreplaceable part of the world’s forest heritage.</p>";<p>Les réserves de la forêt atlantique de la côte de la découverte comprennent huit régions séparées protégées contenant les vestiges les plus représentatifs et les plus étendus de la forêt atlantique du nord-est du Brésil et recèlent un grand nombre d’espèces rares et endémiques. Le site contient une grande richesse biologique et illustre l’évolution des rares régions restantes de forêt atlantique dans le nord-est du Brésil. On peut y observer des structures d’évolution extrêmement intéressantes du point de vue de la science et de la conservation. Le fait qu’il ne reste plus que ces vestiges éparpillés d’une forêt qui fut immense explique que le site soit un élément irremplaçable du patrimoine forestier mondial.</p>;1999;;0;;;-39,25;-16,5;111930;0;0;0;0;0;0;0;0;1;1;(ix)(x);Natural;N;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
1045;893;-894 Rev;Atlantic Forest South-East Reserves;Forêt atlantique – Réserves du sud-est;<p>The Atlantic Forest South-East Reserves, in the states of Paraná and São Paulo, contain some of the best and most extensive examples of Atlantic forest in Brazil. The 25 protected areas that make up the site (some 470,000 ha in total) display the biological wealth and evolutionary history of the last remaining Atlantic forests. From mountains covered by dense forests, down to wetlands, coastal islands with isolated mountains and dunes, the area comprises a rich natural environment of great scenic beauty.</p>;<p>Située dans les États du Paraná et de São Paulo, cette forêt abrite quelques-uns des meilleurs – et plus vastes – exemples de la forêt atlantique brésilienne. Les vingt-cinq aires protégées qui composent ce site s’étendent sur environ 470 000 ha et illustrent la richesse biologique et l’évolution des derniers vestiges de la forêt atlantique. Depuis les montagnes couvertes de forêts denses jusqu’aux zones humides, aux îles côtières avec leurs montagnes et leurs dunes isolées, ce site présente un milieu naturel riche et de grande beauté.</p>;<p>The Atlantic Forests (Southeast) contain the best and largest remaining examples of Atlantic forest in the southeast region of Brazil. The 25 protected areas that make up the site display the biological richness and evolutionary history of the few remaining areas of Atlantic forest of southeast Brazil. The area is also exceptionally diverse with high numbers of rare and endemic species. With its “mountains to the sea” attitudinal gradient, its estuary, wild rivers, karst and numerous waterfalls, the site also has exceptional scenic values.</p>;<p>Le site proposé contient les exemples les meilleurs et les plus étendus de la forêt atlantique dans la région du sud-est du Brésil. Les 25 aires protégées qui composent le site forment un archipel forestier qui révèle une structure de l’évolution de très grand intérêt pour la science et importante pour la conservation. Aucun des vestiges forestiers ne conviendrait à lui seul: c’est l’ensemble des six groupes, se complétant de manière synergique, qui illustre la richesse biologique et l’évolution des derniers vestiges de la forêt atlantique du sud-est du Brésil.</p>;1999;;0;;;-48;-24,16667;468193;0;0;0;0;0;0;1;0;1;1;(vii)(ix)(x);Natural;N;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
1157;993;Rev;Historic Centre of the Town of Goiás;Centre historique de la ville de Goiás;<p>Goiás testifies to the occupation and colonization of the lands of central Brazil in the 18th and 19th centuries. The urban layout is an example of the organic development of a mining town, adapted to the conditions of the site. Although modest, both public and private architecture form a harmonious whole, thanks to the coherent use of local materials and vernacular techniques.</p>;<p>Goiás constitue un témoignage de l’occupation et de la colonisation de l’intérieur du Brésil aux XVIIIe et XIXe siècles. Sa conception urbaine est caractéristique des villes minières à développement organique, adaptées aux réalités de l’environnement. Bien que modeste, l’architecture des bâtiments publics et privés n’en présente pas moins une grande harmonie, fruit, entre autres, d’un emploi cohérent des matériaux et des techniques vernaculaires.</p>;"<p><em>Criterion ii:</em> In its layout and architecture the historic town of Goiás is an outstanding example of a European town admirably adapted to the climatic, geographical and cultural constraints of central South America.</p>
<p><em>Criterion iv:</em> Goiás represents the evolution of a form of urban structure and architecture characteristic of the colonial settlement of South America, making full use of local materials and techniques and conserving its exceptional setting.</p>";"<p><em>Critère ii:</em> De par son tracé et son architecture, la ville historique de Goiás est un exemple exceptionnel de ville européenne admirablement adaptée aux contraintes climatiques, géographiques et culturelles du centre de l’Amérique du sud.</p>
<p><em>Critère iv: </em>Goiás représente l’évolution d’une forme de structure urbaine et d’architecture typique des peuplements coloniaux d’Amérique du sud, tirant le meilleur parti possible des matériaux et techniques locaux et conservant son environnement exceptionnel.</p>";2001;;0;;;-50,140164;-15,934231;40,3;0;1;0;1;0;0;0;0;0;0;(ii)(iv);Cultural;C;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
1163;998;Bis;Central Amazon Conservation Complex;Complexe de conservation de l’Amazonie centrale;<p>The Central Amazon Conservation Complex makes up the largest protected area in the Amazon Basin and is one of the planet’s richest regions in terms of biodiversity. It also includes an important sample of varzea ecosystems, igapó forests, lakes and channels which take the form of a constantly evolving aquatic mosaic that is home to the largest array of electric fish in the world. The site protects key threatened species, including giant arapaima fish, the Amazonian manatee, the black caiman and two species of river dolphin.</p>;<p>Ce site forme la plus grande zone protégée du bassin amazonien et l’une des régions les plus riches de la planète sur le plan de la biodiversité. On y trouve notamment un exemple significatif d’écosystèmes de <em>varzea</em>, des forêts d’<em>igapó</em>, des lacs et des cours d’eau qui forment une mosaïque aquatique où évolue la plus grande diversité de poissons électriques du monde. Le site abrite des espèces menacées d’une importance cruciale, notamment l’arapaima géant, le lamantin de l’Amazone, le caïman noir et deux espèces de dauphins d’eau douce.</p>;"<p><em>Criterion (ix):</em> The varzea and igapó forests, lakes, rivers, and islands of the proposed site together constitute physical and biological formations and demonstrate ongoing ecological processes in the development of terrestrial and freshwater ecosystems. They include a constantly changing and evolving mosaic of river channels, lakes, and landforms. The floating (and constantly moving and changing) mats of vegetation typical of the varzea watercourses include a significant number of endemic species, including the largest array of electric fishes in the world. Anavilhanas contains the second largest archipelago of river islands in the Brazilian Amazon.</p>
<p><em>Criterion (x):</em> The expanded property substantially increases the already impressive protection offered by Jaú National Park to the biological diversity, habitats, and endangered species found in the Central Amazon region. The area is one of the Endemic Bird Areas of the World, is considered as one of the World Wildlife Fund’s 200 Priority Ecoregion for Conservation, and it is also a Centre of Plant Diversity. The expansion of Jaú National Park to include an important sample of Varzea ecosystems, igapó forests, lakes and channels significantly increases the representation of the aquatic biodiversity of the Central Amazon region. Expansion of the site also enhance the protection of key threatened species including giant arapaima fish, the Amazonian manatee, the black caiman, and two species of river dolphin.</p>";"<p><em>Critère (ii):</em> Ensemble, les forêts de varzea et d’igapó, les lacs, les rivières et les îles du site proposé constituent des formations physiques et biologiques et illustrent des processus écologiques en cours du point de vue de l’évolution des écosystèmes terrestres et d’eau douce. On y trouve une mosaïque de bras de rivières, lacs et formes de relief qui change et évolue constamment. Les tapis flottants (en mouvement permanent et en évolution constante) de végétation typique des cours d’eau à varzea comprennent un nombre important d’espèces endémiques, y compris la plus grande diversité de poissons électriques du monde. Anavilhanas contient le deuxième archipel fluvial de l’Amazonie brésilienne par la taille. Beaucoup mieux préservé que l’archipel légèrement plus grand de Maricua, il illustre des processus de colonisation et d’évolution de la végétation sur de nouvelles formes de relief. L’UICN considère que le site proposé remplit ce critère.</p>
<p><em>Critère (iv):</em> Le site agrandi augmente de manière substantielle la protection déjà exceptionnelle offerte par le Parc national Jaú à la diversité biologique, aux habitats et aux espèces en danger que l’on trouve dans la région centrale de l’Amazonie. Le site proposé est une des Zones mondiales pour les oiseaux endémiques et il est considéré comme l’une des 200 écorégions prioritaires du WWF pour la conservation. C’est aussi un centre de diversité des plantes. L’agrandissement du Parc national Jaú afin d’inclure un échantillon important d’écosystèmes de Varzea, de forêts d’igapó, de lacs et de canaux augmente de manière significative la représentation de la biodiversité aquatique de la région d’Amazonie centrale. L’agrandissement du site renforcerait aussi la protection d’espèces menacées clés telles que l’arapaima géant, le lamantin de l’Amazone, le caïman noir et deux espèces de dauphins fluviatiles. L’UICN considère que le site proposé remplit ce critère.</p>";2000;2003;0;;;-62,00833333;-2,333333333;5232018;0;0;0;0;0;0;0;0;1;1;(ix)(x);Natural;N;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
1164;999;;Pantanal Conservation Area;Aire de conservation du Pantanal;<p>The Pantanal Conservation Area consists of a cluster of four protected areas with a total area of 187,818 ha. Located in western central Brazil at the south-west corner of the State of Mato Grosso, the site represents 1.3% of Brazil's Pantanal region, one of the world's largest freshwater wetland ecosystems. The headwaters of the region's two major river systems, the Cuiabá and the Paraguay rivers, are located here, and the abundance and diversity of its vegetation and animal life are spectacular.</p>;<p>L'aire de conservation du Pantanal comporte quatre aires protégées d'une superficie totale de 187 818 ha. Située au centre-ouest du Brésil, à l'extrémité sud-ouest de l'Etat du Mato Grosso, elle embrasse les sources des fleuves Cuiabá et Paraguay. Le site représente 1,3 % du Pantanal brésilien, secteur principal de l'un des écosystèmes de zones humides d'eau douce les plus vastes du monde. L'abondance et la diversité de sa végétation et de sa faune en sont la caractéristique la plus spectaculaire.</p>;"<p><em>Criteria (vii), (ix) and (x):</em> The site is representative of the Greater Pantanal region. It demonstrates the on-going ecological and biological processes that occur in the Pantanal. The association of the Amolar Mountains with the dominant freshwater wetland ecosystems confers to the site a uniquely important ecological gradient as well as a dramatic landscape.</p>
<p>The site plays a key role in the dispersion of nutrients to the entire basin and is the most important reserve for maintaining fish stocks in the Pantanal. The area preserves habitats representative of the Pantanal that contain a number of globally threatened species. The area is a refuge for fauna as it is the only area of the Pantanal that remains partially inundated during the dry season.</p>";"<p><em>Critères (vii), (ix) et (x) :</em> Le site est représentatif de l’ensemble du Pantanal et illustre les processus écologiques et biologiques en cours dans cette région. L’association des monts Amolar et des écosystèmes dominants de zones humides d’eau douce confère au site un gradient écologique inégalé ainsi qu’un paysage spectaculaire.</p>
<p>Le site joue un rôle clé en dispersant les matières nutritives dans tout le bassin et constitue la réserve la plus importante de la région pour le maintien des stocks de poissons dans le Pantanal. Les habitats protégés dans le site abritent un certain nombre d’espèces menacées au plan mondial. Le Complexe sert de refuge à la faune car c’est la seule région du Pantanal qui reste partiellement inondée en saison sèche.</p>";2000;;0;;;-57,461874;-17,670318;187818;0;0;0;0;0;0;1;0;1;1;(vii)(ix)(x);Natural;N;Brazil;Brésil;Latin America and the Caribbean;Amérique latine et Caraïbes;br;bra;0
